1	10	Navn på juridisk enhet
3	10	Kontaktpersonens telefonnummer
7	10	Sertifikatlån lagt ut i Norge
9	10	Kontokode 232
14	10	Postadressen til juridisk enhet
15	10	Forretningsadresse til juridisk enhet
16	10	Beskrivelse av hvilke produksjonsaktiviteter som blir utført innen
16	20	enheten
17	10	Kommunenummer i forretningsadressen til juridisk enhet
18	10	Organisasjonsnummeret til enheten
20	10	Navnet på eiendommen
23	10	Nummer til kommune hvor eiendom ligger
26	10	Fødselsnummer til oppgavegiveren
28	10	Antal dekar jordbruksareal, medregnet leid areal, i drift 1.juni
29	10	Kommune i forretningsadressen til juridisk enhet
30	10	Antall sysselsatte
39	10	Spesifikasjon av produkt, f.eks. merke, modell, kvalitet m.v.
41	10	Omsetning i prosent fordelt på varegrupper
49	10	Salgsinntekter fra tjenesteaktiviteter i prosent av totale
49	20	salgsinntekter
52	10	Beskrivelse av hvilke produksjonsaktiviteter som blir utført innen
52	20	bedriften
61	10	Den ansattes utdanning
68	10	Navn på oppgavegiver
69	10	Adresse til oppgavegiver
73	10	Kontokode 390
75	10	Forbruk av energi, spesifisert på energivare og etter formål
75	20	(brensel/råstoff)
76	10	Kostnader ved energiforbruk, spesifisert på energivare (bensin,
76	20	parafin, elektrisitet etc)
77	10	Salgsinntekter av varer og tjenester, avgiftspliktig
78	10	Salgsinntekter av varer og tjenester, avgiftsfritt
79	10	Kontokode 139
82	10	Kontokode 77
84	10	Kontokode 190
87	10	Kontokode 200
88	10	Kontokode 238
92	10	Lagerbeholdning, spesifisert på energivare (kull, koks, petrolkoks)
99	10	Kontokode 360
103	10	Kontokode 62
104	10	Kontokode 540
106	10	Kontokode 148
117	10	Skattemessig nedskrivning for tap på kundefordringer
120	10	Kontokode 3300
123	10	Kontokode 380
125	10	Frakt og spedisjon vedr. salget
128	10	Kontokode 64
129	10	Kontokode 65
130	10	Kontokode 66
136	10	Kontokode 72
138	10	Kontokode 74
140	10	Kontokode 76
142	10	Kontokode 605
143	10	Kontokode 780
144	10	Kontokode 783
149	10	Kontokode 803
150	10	Kontokode 805
151	10	Kontokode 806
152	10	Kontokode 807
155	10	Kontokode 816
156	10	Kontokode 817
158	10	Resultat av finansinntekter og finanskostnader
175	10	Ervervsår for aksjer i NOKUS mv. oppskrivningsfond
181	10	Kontokode 893
182	10	Kontokode 894
183	10	Kontokode 895
185	10	Kontokode 899
190	10	Kontokode 153
202	10	Kontokode 107
206	10	Saldogruppe B
212	10	Kontokode 113
214	10	Kontokode 115
215	10	Kontokode 116
220	10	Kontokode 240
223	10	Kontokode 2771
225	10	Kontokode 279
227	10	Kontokode 295
228	10	Kontokode 250
229	10	Kontokode 251
230	10	Kontokode 253
231	10	Kontokode 290
235	10	Kontokode 280
236	10	Kontokode 299
237	10	Kontokode 212
238	10	Kontokode 210
242	10	Kontokode 229
247	10	Kontokode 200
249	10	Kontokode 208
259	10	Renteinntekter på tilbakebetalt skatt
262	10	Endring i forskjeller som påvirker forholdet mellom regnskapsmessig og
262	20	skattemessig inntekt (fra post 100 RF-1217)
263	10	Regnskapsmessig tap ved realisasjon av aksjer og andre verdipapirer
264	10	Regnskapsmessig gevinst ved realisasjon av aksjer og andre verdipapire
265	10	Skattemessig gevinst ved realisasjon av aksjer og andre verdipapirer
266	10	Skattemessig tap ved realisasjon av aksjer og andre verdipapirer
267	10	Regnskapsmessig nedskrivning på aksjer og andre verdipapirer som er
267	20	kostnadsført i året
269	10	Andel av skattemessig overskudd i deltakerlignede selskaper
270	10	Andel av skattemessig underskudd i deltakerlignede selskaper
271	10	Tap ved realisasjon av andel i deltakerlignede selskaper
272	10	Gevinst ved realisasjon av andel i deltakerlignede selskaper
273	10	Skattemessig gevinst ved realisasjon av andel i deltakerlignede
273	20	selskaper
274	10	Skattemessig tap ved realisasjon av andel i deltakerlignede selskaper
275	10	Renteinntekter og inntektsført avkastning på livsforsikring
277	10	Kontokode 891
279	10	Skal det for selskapet fastsettes personinntekt etter skatteloven §
279	20	58, jf § 60?
280	10	Regnskapsfører sitt navn
281	10	Regnskapsfører sin adresse
282	10	Kontokode 157
288	10	Kontokode 59
290	10	Overført til/fra egenkapital
309	10	Kontokode 560
317	10	Forbruk av brensel, elektrisitet etc
340	10	Salgsinntekter fra byggevirksomhet i prosent av totale salgsinntekter
341	10	Salgsinntekter fra annen industriell aktivitet i prosent av totale
341	20	salgsinntekter
342	10	Salgsinntekter fra salg av handelsvarer i prosent av totale
342	20	salgsinntekter
362	10	Grunnlag for årets saldoavskrivning og eventuelt negativ saldo og
362	20	eventuelt gevinst/tap ved realisasjon/uttak for spesifiserte grupper.
368	10	Nedskrevet verdi pr. 1.1.1984
371	10	Kontokode 34
424	10	Opplysning om bedriften er aktiv, midlertidig ute av drift, slettet,
424	20	solgt o.s.v
430	10	Lønnskostnader av reparasjonsarbeider utført av bedriftens egne
430	20	ansatte.
443	10	Administrasjonskostnader
458	10	Spesifikasjon av produkt, f.eks. merke, modell, kvalitet m.v.
466	10	Antall daa leid jordbruksareal som er i drift
543	10	Antall daa tilsådd areal av grønnfôrblandinger og kornvekster til
543	20	grønnfôr
544	10	Antall daa høstet areal av grønnfôblandinger og kornvekster til
544	20	grønnfôr
546	10	Antall m3 ferdig silomasse i tårnsilo av grønnfôrblandinger og
546	20	kornvekster til grønnfôr
547	10	Antall m3 ferdig silomasse i plansilo av grønnfôrblandinger og
547	20	kornvekster til grønnfôr
548	10	Antall rundballer av grønnfôrblandinger og kornvekster til grønnfôr
549	10	Antall tonn fôret ferskt eller beitet grønnfôrblandinger og
549	20	kornvekster til grønnfôr
551	10	Antall daa høstet areal poteter
553	10	Antall tonn høstet kålrot, nepe og fôrbete til fôr
554	10	Antall daa areal høstet kålrot, nepe og fôrbete til fôr
555	10	Antall tonn høstet poteter totalt
556	10	Antall daa eng til slått
557	10	Antall daa engareal det ble høstet førsteslått på
559	10	Antall daa tørt høy av førsteslått
561	10	Antall daa eng som bare ble beitet
563	10	Areal av korn og oljevekster.
564	10	Areal av grønnfôrvekster.
565	10	Areal av poteter.
566	10	Areal av rotvekster.
567	10	Areal av eng og beite.
568	10	Kornleveranser fra produsent aggregert på fylkesnivå for korn-og
568	20	oljevekster.
576	10	Produktets pris på hjemmemarkedet
577	10	Produktets pris ved eksport
578	10	Produktets pris ved import
582	10	Antall sysselsatte som er direkte knyttet til bygge- og
582	20	anleggsvirksomheten
604	10	Ordrereserve på bygg spesifisert på distrikter
605	10	Ordrereserve på anlegg spesifisert på distrikt
610	10	Ordrereserve på bygg
611	10	Ordrereserve på anlegg
620	10	Telefonnummer til oppgavegiver
672	10	Salgsinntekter fra agenturvirksomhet i prosent av totale salgsinntekte
673	10	Salgsinntekter fra egen detaljomsetning i prosent av totale
673	20	salgsinntekter
674	10	Salgsinntekter fra egen engrosomsetning i prosent av totale
674	20	salgsinntekter
675	10	Salgsinntekter fra industrielle aktiviteter i prosent av totale
675	20	salgsinntekter
695	10	Verdien av fysiske driftsmidler som er ervervet ved finansiell leasing
695	20	i året
697	10	Inntekter fra bygge- og anleggsvirksomhet fakturert direkte til
697	20	byggherre.
698	10	Spesifikasjon av inntekter fra bygg- og anleggsvirksomhet. Egne
698	20	aktiverte investeringsarbeider i bygg og anlegg.
699	10	Verdien av bygg, bolig og fritidshus i prosent på prosjekttyper.
699	20	Nybygg.
700	10	Verdien av bygge, bolig og fritidshus,fordelt på prosjekt.
700	20	Rehabiliteringsarbeid
701	10	Verdien av bygg, bolig og fritidshus, fordelt på prosjekt. Reparasjon
701	20	og vedlikehold
708	10	Salgsinntekter, leveranse av fjernvarme til forbruker
709	10	Salgsinntekter, leveranse av fjernvarme til bedrifter i eget foretak
710	10	Salgsinntekter, leveranse av fjernvarme til fjernvarmeverk eller
710	20	energiverk
711	10	Salgsinntekter, elektrisitet produsert i mottrykksanlegg
715	10	Energiforbruk til produksjon av fjernvarme, spesifisert på
715	20	energivarer (brensel, elektrisitet, avfall etc.)
716	10	Gjennomsnittlig energiinnhold i avfall
717	10	Gjennomsnittlig energiinnhold i flis/bark
720	10	Fjernvarme levert til produksjon av elektrisitet
721	10	Fjernvarme avkjølt mot luft
722	10	Fjernvarme, tap i fordelingsnett
723	10	Fjernvarme, leveranse til fjernvarmeverk/E-verk
724	10	Fjernvarme, leveranse til bedrifter i eget foretak
726	10	Fjernvarme, leveranse til forbruker. Spesifisert på type forbrukere.
727	10	Salgsinntekter, leveranse av fjernvarme til forbruker. Spesifisert på
727	20	forbrukertype.
728	10	Fjernvarme, leveranse til forbruker. Antall husholdninger og
728	20	bedrifter som mottar fjernvarme. Spesifisert på type forbrukere.
729	10	Fjernvarme, leveranse til bedrifter i eget foretak. Spesifisert på
729	20	bedrift.
730	10	Salgsinntekter, leveranse av fjernvarme til bedrifter i eget foretak.
730	20	Spesifisert på bedrift.
731	10	Fjernvarme, leveranse til fjernvarmeverk/E-verk. Spesifisert på
731	20	enhetene (Fjernvarmeverk/energiverk)
732	10	Salgsinntekter, leveranse av fjernvarme til fjernvarmeverk eller
732	20	energiverk. Spesifisert på enhet (fjernvarmeverk/E-verk)
